index,num_features,mean_accuracy,mean_time
502,7,0.8980208039283752,0.037480417639017105
503,8,0.9223281741142273,0.02762473374605179
504,6,0.8546667695045471,0.01329084113240242
505,7,0.9008437991142273,0.07968451082706451
506,7,0.9191249012947083,0.035961005836725235
507,8,0.9388958215713501,0.02330193854868412
508,7,0.8840990662574768,0.013879391364753246
509,8,0.9177551865577698,0.08515176922082901
510,8,0.9302655458450317,0.013789870776236057
511,9,0.9473438262939453,0.2765752077102661
512,1,0.1178281232714653,0.009440810419619083
513,2,0.20082814991474152,0.04290842264890671
514,2,0.265729159116745,0.014137082733213902
515,3,0.39627084136009216,0.09979020059108734
516,2,0.2226353883743286,0.014700447209179401
517,3,0.33596354722976685,0.011442302726209164
518,3,0.4038020670413971,0.029815703630447388
519,4,0.5265000462532043,0.4785405993461609
520,2,0.2738229036331177,0.04514458402991295
521,3,0.4118593633174896,0.0224361140280962
522,3,0.5095521211624146,0.09206478297710419
523,4,0.6240105032920837,0.023051202297210693
524,3,0.4170624613761902,0.07086631655693054
525,4,0.536395788192749,0.02468426339328289
526,4,0.6112499833106995,0.022491637617349625
527,5,0.704078197479248,0.3355795741081238
528,2,0.2715156078338623,0.025948969647288322
529,3,0.38961976766586304,0.08129436522722244
530,3,0.4621197283267975,0.013013077899813652
531,4,0.5759323239326477,0.026065390557050705
532,3,0.4133385419845581,0.017351793125271797
533,4,0.5266041159629822,0.07900645583868027
534,4,0.5859479308128357,0.013583719730377197
535,5,0.6740155816078186,0.014260772615671158
536,3,0.4740312397480011,0.026491956785321236
537,4,0.5984687209129333,0.0130540169775486
538,4,0.6711458563804626,0.012945917434990406
539,5,0.7553073763847351,0.02394399419426918
540,4,0.5919948220252991,0.022383060306310654
541,5,0.6846562027931213,0.07633204013109207
542,5,0.743770956993103,0.01331607811152935
543,6,0.8088124990463257,0.2936747670173645
544,2,0.24459895491600037,0.06572064012289047
545,3,0.3787916898727417,0.011517489328980446
546,3,0.42727601528167725,0.012878024950623512
547,4,0.5647552013397217,0.013099774718284607
548,3,0.34799477458000183,0.012569318525493145
549,4,0.4850988984107971,0.021787287667393684
550,4,0.529880166053772,0.0923122763633728
551,5,0.6404166221618652,0.01280125230550766
552,3,0.4461614787578583,0.012046442367136478
553,4,0.5782603621482849,0.030188629403710365
554,4,0.6299010515213013,0.02922748401761055
555,5,0.7292969822883606,0.028395064175128937
556,4,0.5370416641235352,0.07237880676984787
557,5,0.6437031626701355,0.036653026938438416
558,5,0.6938126087188721,0.027188923209905624
559,6,0.773401141166687,0.02694627456367016
560,3,0.419479101896286,0.07503551244735718
561,4,0.5367969274520874,0.01257929764688015
562,4,0.595953106880188,0.03576461970806122
563,5,0.6895468235015869,0.027243029326200485
564,4,0.5162396430969238,0.028049198910593987
565,5,0.6208645701408386,0.05647410824894905
566,5,0.6758906245231628,0.029415830969810486
567,6,0.7489895224571228,0.014117887243628502
568,4,0.5985625982284546,0.011631523258984089
569,5,0.7001197934150696,0.027644285932183266
570,5,0.7496823072433472,0.013600241392850876
571,6,0.814916729927063,0.014196583069860935
572,5,0.6667395234107971,0.07833608239889145
573,6,0.7480311989784241,0.013805931434035301
574,6,0.7973541617393494,0.0299979355186224
575,7,0.8485208749771118,0.3036876618862152
576,2,0.23284898698329926,0.011274443008005619
577,3,0.3754947781562805,0.012162270024418831
578,3,0.4398176968097687,0.012144049629569054
579,4,0.5808229446411133,0.01247771643102169
580,3,0.3676823079586029,0.012885897420346737
581,4,0.5113750100135803,0.025666505098342896
582,4,0.5684270262718201,0.026100510731339455
583,5,0.6754738092422485,0.013090193271636963
584,3,0.4394322633743286,0.013023664243519306
585,4,0.5837187170982361,0.012163951992988586
586,4,0.6525156497955322,0.01237961370497942
587,5,0.7414270043373108,0.013967961072921753
588,4,0.5630208253860474,0.020982610061764717
589,5,0.675614595413208,0.02895992249250412
590,5,0.7297343015670776,0.07690384238958359
591,6,0.7976771593093872,0.013624000363051891
592,3,0.4246823191642761,0.025056367740035057
593,4,0.5614427924156189,0.012095137499272823
594,4,0.6186198592185974,0.027246801182627678
595,5,0.7074217796325684,0.013442768715322018
596,4,0.5634947419166565,0.09277262538671494
597,5,0.6716614961624146,0.013290902599692345
598,5,0.716130256652832,0.012965092435479164
599,6,0.7828177213668823,0.02048526518046856
600,4,0.6175103187561035,0.01235354132950306
601,5,0.7249999642372131,0.012724701315164566
602,5,0.7721823453903198,0.030919330194592476
603,6,0.8305937051773071,0.03232324868440628
604,5,0.7071770429611206,0.07884462177753448
605,6,0.7847446799278259,0.03640652820467949
606,6,0.826744794845581,0.02715284936130047
607,7,0.8691614270210266,0.030667511746287346
608,3,0.4197031557559967,0.07787983864545822
